time,symbol,side,entry,exit,qty,pnl,result,reason,balance_after,signal_class,signal_score,rr_value,exit_type,btc_regime,symbol_profile,htf_context,entry_context
2026-04-19 19:04:08,PIEVERSEUSDT,BUY,0.7568,0.795,59.505,2.273091,PLUS,partial_close,80.837343,BASE_A,0.95,2.0,partial_close,squeeze,ALT,trendline_break_up|base_breakout_up|fast_up_move|price_acceleration_up,base_breakout_15m_hold_buy|fast_up_move
2026-04-19 19:16:29,PIEVERSEUSDT,BUY,0.7568,0.8347,59.505,4.635439,PLUS,liquidity_target,85.472783,BASE_A,0.95,2.0,liquidity_target,squeeze,ALT,trendline_break_up|base_breakout_up|fast_up_move|price_acceleration_up,base_breakout_15m_hold_buy|fast_up_move
2026-04-19 19:53:52,BNBUSDT,SELL,625.25,621.34,0.08,0.3128,PLUS,partial_close,85.785583,PATTERN_A,0.763,3.234607,partial_close,squeeze,ALT,head_and_shoulders,pattern_15m_impulse_sell
2026-04-19 19:54:13,GUAUSDT,BUY,0.7788,0.8213,36.3,1.54275,PLUS,partial_close,87.328333,C,0.4,2.0,partial_close,squeeze,ALT,bullish_order_block|fast_up_move,fast_up_move
2026-04-19 20:00:23,ZECUSDT,SELL,316.46,300.53,0.153,2.43729,PLUS,partial_close,89.765623,BASE_A,0.75,2.0,partial_close,squeeze,ALT,trendline_break_down|base_breakout_down|fast_down_move|price_acceleration_down,base_breakout_15m_hold_sell|fast_down_move|price_acceleration_down
2026-04-19 20:29:56,GENIUSUSDT,SELL,0.62985,0.624,166.37,0.973265,PLUS,stop_loss,90.738887,OB_A,0.79,2.0,stop_loss,bearish,ALT,bearish_order_block|fast_down_move,trendline_break_up|order_block_retest_sell
2026-04-19 21:52:21,RAVEUSDT,SELL,1.11451,1.05507,28.495,1.693743,PLUS,partial_close,92.43263,C,0.50337,2.0,partial_close,bearish,ALT,fast_up_move|price_acceleration_up,fast_down_move
2026-04-19 22:04:22,RAVEUSDT,SELL,1.11451,0.98175,28.495,3.782996,PLUS,liquidity_target,96.215626,C,0.50337,2.0,liquidity_target,bearish,ALT,fast_up_move|price_acceleration_up,fast_down_move
2026-04-19 23:31:49,GUNUSDT,SELL,0.019875,0.02052,1936.4,-1.248978,MINUS,reverse_signal,94.966648,C,0.604,1.237558,reverse_signal,squeeze,LOW_CAP,fast_up_move,trendline_break_down|retest_after_breakout_sell|fast_up_move
2026-04-20 00:02:18,API3USDT,BUY,0.3282,0.3264,381.0,-0.6858,MINUS,stop_loss,94.280848,REVERSAL_DIV,0.826,24.165514,stop_loss,squeeze,ALT,trendline_break_up|double_divergence_confirmed|bearish_order_block|fast_down_move,
2026-04-20 00:05:48,AAVEUSDT,BUY,89.9,89.64,0.4,-0.104,MINUS,reverse_signal,94.176848,REJECT,0.37,1.535643,reverse_signal,squeeze,ALT,,trendline_break_up
2026-04-20 00:09:50,HIGHUSDT,SELL,0.2805,0.265,153.65,2.381575,PLUS,partial_close,96.558423,B,0.452401,2.0,partial_close,bearish,ALT,trendline_break_up|bearish_order_block|fast_down_move,trendline_break_up|fast_down_move
2026-04-20 00:17:20,XRPUSDT,BUY,1.4138,1.3977,47.0,-0.7567,MINUS,reverse_signal,95.801723,C,0.39,2.0,reverse_signal,squeeze,ALT,,trendline_break_up|price_acceleration_up
2026-04-20 00:21:45,HYPEUSDT,SELL,43.07,40.898,0.42225,0.917127,PLUS,partial_close,96.71885,REJECT,0.49,2.0,partial_close,squeeze,ALT,fast_down_move|price_acceleration_down,trendline_break_down
2026-04-20 02:07:20,BLURUSDT,BUY,0.032855,0.03191,2293.0,-2.166885,MINUS,stop_loss,94.551965,OB_A,0.79,2.0,stop_loss,squeeze,LOW_CAP,bullish_order_block|fast_down_move,trendline_break_down|order_block_retest_buy|fast_down_move|price_acceleration_down
2026-04-20 02:46:08,GUAUSDT,BUY,0.7844,0.781,86.3,-0.29342,MINUS,reverse_signal,94.258545,C,0.467,2.0,reverse_signal,squeeze,ALT,bullish_order_block|fast_down_move,fast_up_move
2026-04-20 02:51:24,HIGHUSDT,SELL,0.2805,0.2907,153.65,-1.56723,MINUS,stop_loss,92.691315,B,0.452401,2.0,stop_loss,bearish,ALT,trendline_break_up|bearish_order_block|fast_down_move,trendline_break_up|fast_down_move
2026-04-20 02:57:07,PIEVERSEUSDT,SELL,1.2991,0.9344,7.245,2.642251,PLUS,partial_close,95.333567,C,0.419,3.760181,partial_close,squeeze,ALT,fast_up_move,trendline_break_down|fast_down_move
2026-04-20 03:39:14,BNBUSDT,SELL,625.25,622.63,0.08,0.2096,PLUS,stop_loss,95.543167,PATTERN_A,0.763,3.234607,stop_loss,squeeze,ALT,head_and_shoulders,pattern_15m_impulse_sell
2026-04-20 03:43:02,AIOTUSDT,BUY,0.053555,0.0565,712.04,2.096958,PLUS,partial_close,97.640124,OB_A,0.6,19.465662,partial_close,bearish,LOW_CAP,bullish_order_block|fast_up_move,order_block_retest_buy|fast_up_move
2026-04-20 03:46:44,AIOTUSDT,BUY,0.053555,0.05415,712.04,0.423664,PLUS,stop_loss,98.063788,OB_A,0.6,19.465662,stop_loss,bearish,LOW_CAP,bullish_order_block|fast_up_move,order_block_retest_buy|fast_up_move
2026-04-20 04:10:05,APRUSDT,SELL,0.14263,0.1465,481.27,-1.862515,MINUS,stop_loss,96.201273,C,0.472178,2.0,stop_loss,bearish,ALT,bearish_order_block|fast_down_move|price_acceleration_down,trendline_break_down|fast_down_move
2026-04-20 04:40:40,ZECUSDT,SELL,316.46,310.29,0.153,0.94401,PLUS,stop_loss,97.145283,BASE_A,0.75,2.0,stop_loss,squeeze,ALT,trendline_break_down|base_breakout_down|fast_down_move|price_acceleration_down,base_breakout_15m_hold_sell|fast_down_move|price_acceleration_down
2026-04-20 04:44:22,PIEVERSEUSDT,SELL,1.2991,1.1842,7.245,0.83245,PLUS,stop_loss,97.977734,C,0.419,3.760181,stop_loss,squeeze,ALT,fast_up_move,trendline_break_down|fast_down_move
2026-04-20 04:58:54,BEATUSDT,SELL,0.43415,0.4411,293.3,-2.038435,MINUS,stop_loss,95.939299,BASE_A,0.95,1.148879,stop_loss,bearish,ALT,trendline_break_down|base_breakout_down|fast_down_move,trendline_break_down|base_breakout_15m_hold_sell|fast_down_move|price_acceleration_down
2026-04-20 05:08:59,SPKUSDT,BUY,0.02693,0.02857,1455.25,2.38661,PLUS,partial_close,98.325909,BASE_A,0.866,2.0,partial_close,bearish,LOW_CAP,trendline_break_up|base_breakout_up|bullish_order_block|double_bottom|fast_up_move|price_acceleration_up,trendline_break_up|base_breakout_15m_impulse_buy|pattern_15m_impulse_buy|fast_up_move|price_acceleration_up
